 Наименование; Изготовитель; Номер свидетельства и дата; Этикетка; Происхождение; Противопоказания; Срок годности; Год регистрации; Количество групп компонентов;Пищевые вещества Витамины, витаминоподобные вещества и коферменты;Пищевые вещества Макро- и микроэлементы;Пищевые вещества Жиры, жироподобные вещества и их производные;Пищевые вещества Белки, пептиды, аминокислоты,  нуклеиновые кислоты;Минорные компоненты растений Фенольные соединения;Минорные компоненты растений Алкалоиды;Пробиотики в монокультурах и ассоциациях  Пробиотические микроорганизмы;Пищевые вещества Углеводы и продукты их переработки;Минорные компоненты растений Сапонины;Минорные компоненты растений Терпеноиды;Минорные компоненты растений Естественные метаболиты и стимуляторы метаболизма;Минорные компоненты растений Гидроксикоричные кислоты;Минорные компоненты растений Ферменты;Минорные компоненты растений Дубильные вещества;"Минеральные и минерало-органические природные субстанции Цеолиты
Гуминовые кислоты";Система органов для беременных, кормящих и планирующих беременность;Система органов костно-мышечная сиситема;Система органов нервная система;Система органов иммунная система;Система органов пищеварительный тракт и обмен веществ;Система органов мочеполовая система;Система органов дерматологические БАД;Система органов органы чувств;Система органов сердечно-сосудистая система;Система органов противоопухолевые БАД;Система органов противопаразитарные БАД;Система органов дыхательная система;Система органов кровь и система кроветворения;Система органов противомикробные БАД; Форма выпуска; Продолжительность приема; Происхождение (природное/синтетическое); Сырье (растительное/животное/биологическое);Группа населения предназначен для детей;Группа населения возраст детей;Группа населения предназначен для взрослых;Группа населения пол;Группа населения пожилые
"биологически активная добавка к пище ""Колонвелл"" (""Colonwell"") (порошок в банках массой 400 г)";"LLC ""FHLife World"", Liepkalnio g.85B, Vilnius, LT-02120, Литва (адрес производства: Jurbarko g.2, Kaunas, Литва). (Литва)";RU.77.99.11.003.R.003696.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) 2-3 раза в день во время еды, предварительно размешав в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года.Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) 2-3 раза в день во время еды, предварительно размешав в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года.Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;2 года;2021;2;;;;;фенольн;;;полисахариды;;;;;;;;;;;;жкт;;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Шелуха семян подорожника яйцевидного (Подорожник яйцевидный - Plantago ovata), семена льна обыкновенного (Лён посевной - Linum usitatissimum), глюкоманнан (Аморфофаллус коньяк - Amorphophallus konjac), плоды тимьяна обыкновенного (Тимьян обыкновенный - Thymus vulgaris), листья петрушки кудрявой (Петрушка кудрявая - Petroselinum crispum), плоды кориандра посевного (Кориандр посевной - Coriandrum sativum), корень подсолнечника клубненосного (Топинамбур - Helianthus tuberosus), листья одуванчика лекарственного (Одуванчик лекарственный - Taraxacum officinale), корневища имбиря лекарственного (Имбирь аптечный - Zingiber officinale), семена фенхеля обыкновенного (Фенхель обыкновенный - Foeniculum vulgare), корневища куркумы длинной (Куркума длинная - Curcuma longa);;;взрослые;;
"биологически активная добавка к пище ""Мультивита плюс макроэлементыий и микроэлементыо"" (Folic acid 400 Ca Fe plus) (таблетки массой 250 мг)";ITOH KANPO PHARMACEUTICAL Co. Ltd., 4-1 Nagata-Higashi 2-Chome, Higashi Osaka-Shi, Osaka (Япония);RU.77.99.11.003.R.003698.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 2 таблетки 2 раза в день во время еды, запивая водой. Продолжительность приема - 1 месяц.При необходимости прием можно повторить.Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 3 года. Хранить в недоступном для детей месте при температуре не выше 25°С;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 2 таблетки 2 раза в день во время еды, запивая водой. Продолжительность приема - 1 месяц.При необходимости прием можно повторить.Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 3 года. Хранить в недоступном для детей месте при температуре не выше 25°С;3 года;2021;2;вит;элементы;;;;;;;;;;;;;;;;;иммун;;;;;;;;;;;таблетки;1 месяц и менее;Природное (животное);Порошок яичной скорлупы (Курица домашняя - Gallus gallus domesticus);;;взрослые;;
"биологически активная добавка к пище ""Омега-3"" (""DHA 1000"") (капсулы массой 525 мг)";ITOH KANPO PHARMACEUTICAL Co. Ltd., 4-1 Nagata-Higashi 2-Chome, Higashi Osaka-Shi, Osaka (Япония);RU.77.99.11.003.R.003699.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым 6 капсул в день во время еды, в течение дня, запивая водой. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 3 года. Хранить в недоступном для детей месте при температуре не выше 25°С;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым 6 капсул в день во время еды, в течение дня, запивая водой. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности: 3 года. Хранить в недоступном для детей месте при температуре не выше 25°С;3 года;2021;1;;;пнжк;;;;;;;;;;;;;;суст;нерв;;;;;;серд;;;;;;капсулы;1 месяц и менее;Природное (животное);Рыбий жир (Треска атлантическая - Gadus morhua);;;взрослые;;
"биологически активная добавка к пище ""АпЭНЕРДЖИ"" (""UpENERGY"") (капсулы массой 352 мг)";"АО ""Вектор-Медика"", 630559, Новосибирской обл., городской округ рабочий поселок Кольцово, рп Кольцово, зона Научно-производственная, здание 38, (адрес места осуществления деятельности по изготовлению продукции:: Новосибирская обл., городской округ рабочий поселок Кольцово, рп Кольцово, Научно-производственная, здание 38, корпус № 1) (Российская Федерация)";RU.77.99.11.003.R.003700.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 2 капсулы в день во время еды в первой половине дня. Продолжительность приема 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Срок годности и условия хранения: 3 года. Хранить защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25° C;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 2 капсулы в день во время еды в первой половине дня. Продолжительность приема 2-3 недели. При необходимости прием можно повторить через месяц. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз. Срок годности и условия хранения: 3 года. Хранить защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25° C;3 года;2021;много;вит;;;аминокислоты;;алкалоид;;полисахариды;;;;;;;;;;нерв;;;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт листьев бакопа монье (Бакопа монье - Bacopa monnieri), кофеин (Кофейное дерево аравийское - Coffea arabica);;;взрослые;;
"биологически активная добавка к пище ""ОМЕГА 3 ЖИРНЫЕ КИСЛОТЫ"" (""OMEGA 3 FATTY ACID"") (капсулы массой 370мг(±10%), 700мг(±10%), 850мг(±10%), 1360мг(±10%) для реализации намикроэлементыию; в упаковке ""in bulk"" от 1,5 до 20 кг для последующей расфасовки)";"ООО ""БИОКОРД"", 443044, Самарская обл., Самара г.о., Самара г., Кировский вн.р-н, Зубчаниновка п., Товарная ул., влд. 70, литера Ш, офис 17 (адрес места осуществления деятельности по изготовлению продукции: 443044, Самарская область, г.о.Самара, ул.Товарная, д.70, лит.Ш) (Российская Федерация)";RU.77.99.11.003.Е.003717.10.21 от 20.10.2021;"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям с 3 до 6 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день; детям с 7 до 10 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день, или по 3 капсулы (массой 850мг) 1 раз в день; детям с 11 до 14 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день, или по 1 капсуле (массой 850мг) 3 раза в день, или по 1 капсуле (массой 1360мг) 2 раза в день; детям с 15 лет и взрослым во время еды по 5 капсул (массой 370мг) 2 раза в день, или по 5 капсул (массой 700мг) в день, или по 4 капсулы (массой 850мг), или по 3 капсулы (массой 1360мг) в день. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 2. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С. Продукция в упаковке ""in bulk""не подлежит розничной продаже, предназначена для последующей расфасовки";отечественное;"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям с 3 до 6 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день; детям с 7 до 10 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день, или по 3 капсулы (массой 850мг) 1 раз в день; детям с 11 до 14 лет во время еды по 4 капсулы (массой 370мг) 2 раза в день или по 2 капсулы (массой 700мг) 2 раза в день, или по 1 капсуле (массой 850мг) 3 раза в день, или по 1 капсуле (массой 1360мг) 2 раза в день; детям с 15 лет и взрослым во время еды по 5 капсул (массой 370мг) 2 раза в день, или по 5 капсул (массой 700мг) в день, или по 4 капсулы (массой 850мг), или по 3 капсулы (массой 1360мг) в день. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением рекомендуется проконсультироваться с врачом. Перед применением БАД детьми необходимо проконсультироваться с врачом-педиатром, детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности - 2. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С. Продукция в упаковке ""in bulk""не подлежит розничной продаже, предназначена для последующей расфасовки";2 года;2021;1;;;пнжк;;;;;;;;;;;;;;суст;нерв;;;;;;серд;;;;;;капсулы;1 месяц и менее;Природное (животное);Рыбий жир (Треска атлантическая - Gadus morhua);;;взрослые;;
"биологически активная добавка к пище пище ""ALPHA LIPOIC ACID"" (""АЛЬФА-ЛИПОЕВАЯ КИСЛОТА"") (капсулы массой 450мг±10%, 620мг±10%)";"ООО ""Арсенал Атлета"", 443535, Самарская область, Волжский муниципальный район, сельское помикроэлементыие Лопатино, село Лопатино, ул. Мира, здание 16/8, офис 1(ПРИЛОЖЕНИЕ) (адрес места осуществления деятельности по изготовлению продукции: 443535, Самарская область, Волжский муниципальный район, сельское помикроэлементыие Лопатино, село Лопатино, ул. Мира, здание 16/8) (Российская Федерация)";RU.77.99.11.003.R.003718.10.21 от 20.10.2021;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле (массой 450мг или массой 620мг) в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением БАД к пище рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С;отечественное;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле (массой 450мг или массой 620мг) в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением БАД к пище рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С;2 года;2021;1;вит;;;;;;;;;;;;;;;;;нерв;;жкт;;;;;;;;;;капсулы;1 месяц и менее;Синтетическое ;;;;взрослые;;
" биологически активная добавка к пище пище ""AAKG"" (""АРГИНИН АЛЬФА-КЕТОГЛУТАРАТ"") (капсулы массой 620мг±10%, 820мг±10%)";"ООО ""Арсенал Атлета"", 443535, Самарская область, Волжский муниципальный район, сельское помикроэлементыие Лопатино, село Лопатино, ул. Мира, здание 16/8, офис 1(ПРИЛОЖЕНИЕ) (адрес места осуществления деятельности по изготовлению продукции: 443535, Самарская область, Волжский муниципальный район, сельское помикроэлементыие Лопатино, село Лопатино, ул. Мира, здание 16/8) (Российская Федерация)";RU.77.99.11.003.R.003719.10.21 от 20.10.2021;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 4 капсулы (массой 620мг) или по 3 капсулы (массой 820мг) в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением БАД к пище рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С;отечественное;в соответствии с требованиями ТР ТС 022/2011. Рекомендации по применению: взрослым по 4 капсулы (массой 620мг) или по 3 капсулы (массой 820мг) в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД к пище, беременность, кормление грудью. Перед применением БАД к пище рекомендуется проконсультироваться с врачом. Срок годности - 2 года. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте, при температуре не выше 25°С;2 года;2021;1;;;;аминокислоты;;;;;;;;;;;;;;;;жкт;;;;;;;;;;капсулы;1 месяц и менее;Синтетическое ;;;;взрослые;;
"биологически активная добавка к пище ""АпЭНЕРДЖИ PRO"" (""UpENERGY PRO"") (капсулы массой 358 мг)";"АО ""Вектор-Медика"", 630559, Новосибирская область, г.о. рабочий поселок Кольцово, рп Кольцово, зона Научно-производственная, зд. 38 (адрес места осуществления деятельности по изготовлению продукции: 630559, Новосибирская обл., городской округ рабочий поселок Кольцово, рп Кольцово, зона Научно-производственная, здание 38, корпус № 13) (Российская Федерация)";RU.77.99.11.003.R.003722.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25° C;отечественное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 капсуле в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью. Срок годности - 3 года. Хранить в защищенном от прямых солнечных лучей и недоступном для детей месте при температуре не выше 25° C;3 года;2021;2;вит;;;;фенольн;;;;;;;;;;;;;нерв;;;;;;;;;;;;капсулы;1 месяц и менее;Природное (растительное);Экстракт листьев бакопа монье (Бакопа монье - Bacopa monnieri), экстракт листьев гинкго билоба (Гинкго двулопастный - Ginkgo biloba), ресвератрол (Виноград культурный - Vitis vinifera);;;взрослые;;
"биологически активная добавка к пище ""Колонвелл Детокс"" (Colonwell Detox) (порошок в банках массой 400 г)";"LLC ""FHLife World"", Liepkalnio g.85B, Vilnius, LT-02120, Литва (адрес производства: Jurbarko g.2, Kaunas). (Литва)";RU.77.99.11.003.R.003724.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) 2-3 раза, предварительно размешать в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью.Срок годности - 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) 2-3 раза, предварительно размешать в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью.Срок годности - 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;2 года;2021;2;;;;;фенольн;;;полисахариды;;;;;;;;;;;;жкт;;;;;;паразит;;;;порошок;1 месяц и менее;Природное (растительное);Шелуха семян подорожника яйцевидного (Подорожник яйцевидный - Plantago ovata), семена льна обыкновенного (Лён посевной - Linum usitatissimum), глюкоманнан (Аморфофаллус коньяк - Amorphophallus konjac), экстракт листьев черного ореха (Орех черный - Juglans nigra), сушеные лисички (Лисичка обыкновенная - Cantharellus cibarius), плоды тмина обыкновенного (Тмин обыкновенный - Carum carvi), листья петрушки кудрявой (Петрушка кудрявая - Petroselinum crispum), плоды кориандра посевного (Кориандр посевной - Coriandrum sativum), корень подсолнечника клубненосного (Топинамбур - Helianthus tuberosus), листья одуванчика лекарственного (Одуванчик лекарственный - Taraxacum officinale), корневища имбиря лекарственного (Имбирь аптечный - Zingiber officinale), семена фенхеля обыкновенного (Фенхель обыкновенный - Foeniculum vulgare), корневища куркумы длинной (Куркума длинная - Curcuma longa);;;взрослые;;
"биологически активная добавка к пище ""Колонвелл Актив"" (Colonwell Activ) (порошок в банках массой 400 г)";"LLC ""FHLife World"", Liepkalnio g.85B, Vilnius, LT-02120, Литва (адрес производства: Jurbarko g.2, Kaunas). (Литва)";RU.77.99.11.003.R.003725.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) в день, предварительно размешать в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью.Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 чайной ложке порошка (3 г) в день, предварительно размешать в 0,5 стакана воды, дополнительно запить стаканом воды. Продолжительность приема - 1 месяц. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: Индивидуальная непереносимость компонентов БАД, беременность, кормление грудью.Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С. После открытия использовать в течение 3 месяцев;2 года;2021;2;вит;элементы;;;;;;;;;;;;;;;;;;жкт;;;;;;;;;;порошок;1 месяц и менее;Природное (растительное);Шелуха семян подорожника яйцевидного (Подорожник яйцевидный - Plantago ovata), семена льна обыкновенного (Лён посевной - Linum usitatissimum), карбонат кальция (Раковина устрицы - Ostrea edulis), глюкоманнан (Аморфофаллус коньяк - Amorphophallus konjac), лиофилизированные порошки плодов манго индийского (Манго индийское - Mangifera indica), ягод малины обыкновенной (Малина обыкновенная - Rubus idaeus), ягод черники обыкновенной (Черника - Vaccinium myrtillus), плоды тмина обыкновенного (Тмин обыкновенный - Carum carvi), листья петрушки кудрявой (Петрушка кудрявая - Petroselinum crispum), плоды кориандра посевного (Кориандр посевной - Coriandrum sativum), корень подсолнечника клубненосного (Топинамбур - Helianthus tuberosus), листья одуванчика лекарственного (Одуванчик лекарственный - Taraxacum officinale), корневища имбиря лекарственного (Имбирь аптечный - Zingiber officinale), семена фенхеля обыкновенного (Фенхель обыкновенный - Foeniculum vulgare), корневища куркумы длинной (Куркума длинная - Curcuma longa);;;взрослые;;
"биологически активная добавка к пище ""Фенок Триколлаген Неуро"" (""FenoQ Tricollagen Neuro"") (жидкость во флаконах по 25 мл)";"LLC ""FHLife World"", Liepkalnio g.85B, Vilnius, LT-02120, Литва (адрес производства: Jurbarko g.2, Kaunas). (Литва)";RU.77.99.11.003.R.003726.10.21 от 20.10.2021;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 флакону (25 мл) в день непосредственно после еды. Продолжительность приема - 14 дней. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С;иностранное;в соответствии с ТР ТС 022/2011. Рекомендации по применению: взрослым по 1 флакону (25 мл) в день непосредственно после еды. Продолжительность приема - 14 дней. Возможны повторные приемы в течение года. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов БАД, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, нарушение ритма сердечной деятельности, выраженный атеросклероз, прием в вечернее время. Срок годности: 2 года. Хранить в сухом, темном, недоступном для детей месте при температуре не выше 25° С;2 года;2021;много;вит;элементы;;аминокислоты;фенольн;;;;;;;;;;;;;нерв;;;;;;;;;;;;растворы;1 месяц и менее;Природное (растительное, животное);Гидролизованный рыбный коллаген (Треска атлантическая - Gadus morhua), экстракт корня женьшеня обыкновенного (Женьшень настоящий - Panax ginseng), экстракт листьев гинкго билоба (Гинкго двулопастный - Ginkgo biloba);;;взрослые;;
"биологически активная добавка к пище ""Детский рыбий жир с витаминами А, D, Е"" (без вкуса, и со вкусом апельсина, или грейпфрута, или дыни, или клюквы, или лимона, или малины) (капсулы массой 300мг(±10%), 700мг(±10%), 1000мг(±10%); жидкость во флаконах с капельницей-дозатором или без нее от 10 до 200мл)";"ООО ""Мирролла"", 188663, Ленинградская область, Всеволожский район, г.п.Кузьмоловский, ул. Заводская, д.3, корпус 361А, помещение 1-Н (адрес места осуществления деятельности по изготовлению продукции: 188663, Ленинградская область, Всеволожский район, г.п.Кузьмоловский, б/н, кор.186, 271/1) (Российская Федерация)";RU.77.99.11.003.R.003728.10.21 от 20.10.2021;"в соответствии с ТР ТС 022/2011. Рекомендации по применению: детям с 3 до 7 лет по 6 капсул (массой 300мг) или по 1,5мл (10 капель или 0,5 чайной ложки) в день во время еды; детям с 7 до 11 лет по 6 капсул (массой 300мг), или по 3 капсулы (массой 700мг), или по 2 капсулы (массой 1000мг), или по 1,5мл (10 капель или 0,5 чайной ложки) в день во время еды; детям с 11 до 14 лет по 6 капсул (массой 300мг) 2 раза в день во время еды, или по 3 капсулы (массой 700мг) 2 раза в день, или по 1 капсуле (массой 1000мг) 3 раза в день во время еды, или по 1,5мл (10 капель или 0,5 чайной ложки) 2 раза в день во время еды. Продолжительность приема - 4-6 недель. При необходимости прием можно повторить. Возможны повторные приемы в течение года. Противопоказания: индивидуальная непереносимость компонентов БАД. Перед применением рекомендуется проконсультироваться с врачом-педиатром. Детям до 14 лет принимать БАД по согласованию и под наблюдением врача-педиатра. Срок годности с даты изготовления: капсул - 2 года; жидкой формы - 1год. Хранить в оригинальной упаковке, защищенном от попадания прямых солнечных лучей и недоступном для детей месте при температуре не выше 25°С. После вскрытия флакона, хранить в холодильнике не более месяца";отечественное;индивидуальная непереносимость компонентов ;2 года;2021;2;вит;;пнжк;;;;;;;;;;;;;;суст;нерв;иммун;;;;;;;;;;;капсулы, растворы;1-2 месяца;Природное (животное);Рыбий жир (Треска атлантическая - Gadus morhua);;;;;
"биологически активная добавка к пище ""Глицимакроэлементл (Glycimagnil)"" (таблетки массой 820 мг)";"""WELLOUS PHARMA PRIVATE LIMITED."", R.S.No.333-2A & 2B2, Navamal Marutur Village, Kandamangalam Block, Villupuram District, TAMIL NADU - 605 102 (Индия)";"	RU.77.99.88.003.R.003731.10.21 от 20.10.2021";в соответствии с ТР ТС 022/2011. Рекомендации по применению: принимать взрослым по 1 таблетке 2 раза в день во время еды. Продолжительность приема - 2-3 недели. При необходимости прием БАД можно повторить. Перед применением рекомендуется проконсультироваться с врачом. Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью. Срок годности - 36 месяцев. Хранить в сухом, защищенном от попадания прямых солнечных лучей, недоступном для детей месте, при температуре не выше 25°С;иностранное;индивидуальная непереносимость компонентов, беременность, кормление грудью;3 года;2021;1;;элементы;;;;;;;;;;;;;;;;нерв;;;;;;;;;;;;таблетки;1 месяц и менее;Синтетическое ;;;;взрослые;;
